subject_group,school_code,school_name,major_group_code,actual_group_min_score,actual_group_min_rank,major_code,major_name,actual_major_min_score,actual_major_min_rank,actual_major_max_score,actual_major_avg_score,actual_major_admit_count,selection_requirement,college_department,major_note,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10272,上海财经大学,207,620,1976,003,财务管理,622,1731,630.0,,3,历,,培养智能化人才,21,21,,,7
历史,10272,上海财经大学,207,620,1976,005,工商管理类,621,1835,621.0,,2,历,,工商管理(商务分析)、工商管理(战略与创新创业)、市场营销、人力资源管理,21,21,,,7
历史,10272,上海财经大学,207,620,1976,006,投资学,621,1835,623.0,,4,历,,,21,21,,,7
历史,10272,上海财经大学,207,620,1976,007,商务英语,620,1951,621.0,,3,历,,,21,21,,,7
历史,10272,上海财经大学,208,610,3200,008,马克思主义理论,610,3259,610.0,,1,历+政,,,1,1,,,1
历史,10610,四川大学,209,600,5234,011,美术学(理论研究),600,5183,,,4,历,,,4,4,,,1
历史,10610,四川大学,211,619,2109,009,人文科学试验班(中文与新闻传播),624,1541,,,5,历,,汉语言文学、汉语国际教育、新闻学、广告学、网络与新媒体,28,28,,,6
历史,10610,四川大学,211,619,2109,008,法学,622,1731,,,6,历,,,28,28,,,6
历史,10610,四川大学,211,619,2109,010,工商管理类,619,2072,,,5,历,,市场营销、人力资源管理、财务管理、会计学(ACCA),28,28,,,6
历史,10610,四川大学,211,619,2109,007,经济学类,619,2072,,,6,历,,国际经济与贸易、经济学、国民经济管理、财政学,28,28,,,6
历史,10610,四川大学,211,619,2109,006,哲学,619,2072,,,3,历,,,28,28,,,6
历史,10610,四川大学,211,619,2109,005,中国古典学,619,2072,,,3,历,,,28,28,,,6
历史,10034,中央财经大学,206,617,2324,004,金融学,623,1635,633.0,,4,历,,金融学、金融学(北外英语联培),38,38,,金融学、金融学(北外英语联培),9
历史,10034,中央财经大学,206,617,2324,011,法学,620,1951,626.0,,3,历,,法学(卓越法治人才教育培养计划)、法学(涉外法治人才培养基地班)、法学(“法学+会计学”双学位项目)、法学(“法学+工商管理”双学位项目),38,38,,金融学、金融学(北外英语联培),9
历史,10034,中央财经大学,206,617,2324,012,社会学类,619,2072,619.0,,1,历,,社会学(经济社会学)、社会工作(金融领域),38,38,,金融学、金融学(北外英语联培),9
历史,10034,中央财经大学,206,617,2324,005,工商管理类(会计学院),619,2072,635.0,,5,历,,会计学、会计学(“法学+会计学”双学位项目)、财务管理,38,38,,金融学、金融学(北外英语联培),9
历史,10034,中央财经大学,206,617,2324,003,财政学类,618,2189,637.0,,8,历,,财政学、税收学、资产评估、财政学(财政基础理论基地班)、税收学(全球税收治理菁英班),38,38,,金融学、金融学(北外英语联培),9
