subject_group,school_code,school_name,major_group_code,selection_requirement,group_majors_text,actual_group_min_score,actual_group_min_rank,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
物理,10606,玉林师范学院,219,物+化+生,制药工程，生物技术(师范)，园艺,496,172892,15,15,,,3
物理,11653,南阳理工学院,211,物+化,应用化学，化学工程与工艺，食品科学与工程,496,172900,12,12,,,3
物理,13810,肇庆医学院,204,物+化,护理学,496,172953,307,307,,,1
物理,10463,河南工业大学,213,物+化,物联网工程(豫台合作办学)，生物技术(中外合作办学)，食品科学与工程(中外合作办学),495,173129,6,6,,豫台合作,3
物理,11420,河北金融学院,214,物+化,数据计算及应用,495,173186,3,3,,,1
物理,11354,梧州学院,218,物+化,资源循环科学与工程，制药工程，食品科学与工程，中药学，茶学,495,173231,10,10,,,5
物理,11437,长春工程学院,204,物+化,电气工程及其自动化，智能电网信息工程，电子信息工程，机械设计制造及其自动化，计算机科学与技术，给排水科学与工程，软件工程，土木工程，道路桥梁与渡河工程,495,173248,28,28,,,9
物理,10601,桂林医科大学,205,物+化,康复治疗学，药学，智能医学工程，食品卫生与营养学,495,173251,8,8,,中外联培,4
物理,10580,肇庆学院,212,物,会计学,495,173334,15,15,,中外联培,1
物理,11548,广西财经学院,206,物,金融数学(中外合作办学)，会计学(中外合作办学),495,173349,6,6,,中外合作,2
物理,11242,太原学院,207,物+化,给排水科学与工程，化学工程与工业生物工程，建筑环境与能源应用工程,495,173492,4,4,,,3
物理,10757,塔里木大学,208,物+化,应用化学，化学(师范),495,173538,7,7,,,2
物理,10531,吉首大学,220,物+生,风景园林,495,173798,3,3,,,1
物理,10582,嘉应学院,209,物+化,"食品科学与工程(应用技术类,与广东农工商职业技术学院协同培养)",495,173803,50,50,,协同培养,1
物理,11349,五邑大学,210,物+化,计算机科学与技术(中外联合培养)，通信工程(中外联合培养),495,173849,280,280,,中外联培,2
物理,11437,长春工程学院,203,物,建筑学(5年),495,173862,2,2,,,1
物理,11653,南阳理工学院,212,物+化+生,生物工程,495,173873,5,5,,,1
物理,11330,安阳工学院,205,物+化,交通运输，飞行器质量与可靠性,495,173898,4,4,,,2
物理,11420,河北金融学院,211,物,商务英语,495,173963,5,5,,,1
物理,10467,河南科技学院,207,物+化,信息工程，通信工程，生物技术，生物工程，制药工程，食品质量与安全，植物保护,495,173983,37,37,,,7
物理,10578,韩山师范学院,227,物+化,"食品质量与安全(应用技术类,与中山火炬职业技术学院协同培养)",495,174001,40,40,,协同培养,1
物理,11106,广州航海学院,204,物+化,计算机科学与技术(中外合作办学),495,174104,120,120,,中外合作,1
物理,10752,宁夏医科大学,206,物+化+生,护理学,495,174111,7,7,,,1
物理,11653,南阳理工学院,208,物,工商管理，国际经济与贸易(培养数字商务人才)，财务管理(培养智能财务人才),495,174209,5,5,,,3
物理,10483,商丘师范学院,207,物+化,动物科学，人工智能，新能源科学与工程，材料科学与工程，食品科学与工程,495,174233,8,8,,,5
物理,14527,山西工程技术学院,206,物+化,电气工程及其自动化，智能制造工程，物联网工程，机械设计制造及其自动化，计算机科学与技术，机器人工程，智能科学与技术，机械电子工程，材料成型及控制工程，智能建造，测绘工程，数据科学与大数据技术，地质工程，土木工程,495,174316,24,24,,,14
物理,10741,兰州财经大学,212,物,国际商务,495,174585,3,3,,中外联培,1
物理,10582,嘉应学院,214,物+生,园林，护理学,495,174604,272,272,,,2
物理,10647,长江师范学院,209,物+化,环境科学与工程类，土木工程,495,174614,15,15,,,2
物理,10580,肇庆学院,216,物,英语(师范),495,174634,15,15,,中外联培,1
物理,10721,宝鸡文理学院,202,物,教育技术学(师范)，外国语言文学类,495,174669,5,5,,普师,2
物理,10553,湖南人文科技学院,212,物,学前教育(中外合作办学)(师范),495,174700,1,1,,中外合作,1
物理,10918,黄淮学院,207,物+化,智能建造，药学，生物工程，储能科学与工程,494,174833,30,30,,,4
物理,51721,河北环境工程学院,207,物,工程造价,494,175012,3,3,,,1
物理,10576,韶关学院,228,物+化,护理学,494,175047,305,305,,,1
物理,11326,信阳农林学院,208,物+化,食品质量与安全，生物制药,494,175073,10,10,,,2
